id,price_doc
30474,5231314.431411411
30475,8349259.636992042
30476,5389193.257049695
30477,6221282.570823508
30478,5049700.586253157
30479,8868099.74307467
30480,4363358.190071688
30481,4209153.677193936
30482,4440864.588694187
30483,4901871.06428331
30484,6192722.6935578175
30485,4999648.687139459
30486,3741377.4024751773
30487,4446446.519242079
30488,6564091.546468405
30489,5806952.915873618
30490,23909289.489008233
30491,15671329.759107348
30492,6415557.218590288
30493,12277915.42076448
30494,7050118.373956264
30495,10170710.914733008
30496,9211711.824528595
30497,8301233.323234567
30498,4310141.340824922
30499,7541420.934081174
30500,11764748.861344367
30501,7073513.861334544
30502,3062771.851394136
30503,6178143.970798492
30504,6150186.212058919
30505,11383400.905254636
30506,2857493.91803178
30507,4826979.418266665
30508,5709129.325372885
30509,7789959.043445698
30510,9225925.998766152
30511,6538193.807735287
30512,6184146.78606748
30513,4333927.339305055
30514,3229522.7569397544
30515,9765512.713112125
30516,5991393.45542069
30517,10957115.657640032
30518,7011834.860672742
30519,4664283.532511524
30520,7456628.835465495
30521,5950941.206520829
30522,7260081.276546832
30523,6376392.671918541
30524,10207861.14480395
30525,9342462.01522299
30526,4819330.452015805
30527,5004844.297548276
30528,6616549.946210362
30529,6660870.021732496
30530,5963411.311198121
30531,14412920.885273281
30532,4779374.667636165
30533,9862741.759674644
30534,7190450.274742118
30535,9309298.615422009
30536,5550647.296372831
30537,11685079.068870524
30538,4974030.768353478
30539,8627331.193344677
30540,9661170.317516785
30541,5961387.461588945
30542,2254339.60947923
30543,5814162.28075065
30544,7174881.120736359
30545,8305719.949049499
30546,4142163.195114565
30547,10477545.380074866
30548,4613636.126980529
30549,5140325.973210669
30550,12598686.503556587
30551,5157149.059469077
30552,1962426.8168653839
30553,7642798.040821519
30554,10989002.75226153
30555,6205633.155061734
30556,9224301.883333629
30557,7973161.301896733
30558,8299738.669566069
30559,6311166.469794935
30560,5895447.75932929
30561,7248028.304384985
30562,12617278.478038948
30563,4298852.271775087
30564,7293288.832642147
30565,7405540.941547989
30566,6781033.425389643
30567,2170909.730877339
30568,10076581.192883966
30569,11432315.232087892
30570,6599303.493833128
30571,7903023.469821367
30572,4841698.498873158
30573,6151777.312973665
30574,6516433.812002907
30575,7360608.485576362
30576,4854485.062352412
30577,4305299.038117169
30578,2912600.4223677423
30579,7850615.15902755
30580,4666778.67292667
30581,5243624.2682498675
30582,11179339.196842412
30583,7191240.910963996
30584,4382816.010770747
30585,2941596.573611224
30586,9408684.50241688
30587,5959535.720616522
30588,7263766.536334425
30589,8250379.950250751
30590,12888021.034948759
30591,5263119.9436668875
30592,6953672.627336435
30593,8609120.490305848
30594,6074414.877543593
30595,5402624.43366142
30596,6564747.181806406
30597,6112227.651884005
30598,9660944.577896355
30599,8796853.99726987
30600,4798821.369714532
30601,6336907.620000933
30602,2108389.026644618
30603,11840865.366013188
30604,4827092.077325733
30605,6432172.67026728
30606,21434948.20509741
30607,5636928.345104082
30608,8883590.827967206
30609,5898062.803905107
30610,2963687.363389872
30611,5737836.744716321
30612,7600696.877886772
30613,9320897.398894213
30614,16804096.00140959
30615,7982168.372972035
30616,5801548.173371082
30617,9967942.617475696
30618,4971867.865468731
30619,4248072.902509579
30620,2623309.6192742577
30621,8906165.162230719
30622,7835090.209735012
30623,6293198.492611862
30624,6368439.480341867
30625,7650336.888817952
30626,6232285.68602099
30627,7317161.926610045
30628,6075854.123574892
30629,5161640.980653919
30630,4520028.057028391
30631,6353581.708845723
30632,4093249.9227393023
30633,6458202.076700757
30634,11711486.349880822
30635,9735292.890111856
30636,5400908.578670625
30637,9441164.601380812
30638,6237296.899258804
30639,7530507.451541372
30640,4557636.717561078
30641,7844800.178177612
30642,6859733.225275928
30643,8178675.854270427
30644,9661526.033027017
30645,7527683.655725674
30646,5288715.452365641
30647,4984940.992183723
30648,21707262.559840314
30649,2571378.260826313
30650,4980896.61789381
30651,2953454.596184676
30652,4417568.689850081
30653,7029498.275446184
30654,4641769.531054767
30655,12648226.40447713
30656,3735253.5984382555
30657,6123543.719605732
30658,10067061.957423193
30659,4826026.464409606
30660,8589417.885999471
30661,6449748.996831133
30662,8590255.71963546
30663,16851089.039537102
30664,11515265.259483982
30665,5894251.683274366
30666,2555199.554470683
30667,4206701.533764259
30668,9448010.166127136
30669,5073434.889008954
30670,2512599.058297408
30671,7278240.658214199
30672,15200798.606767332
30673,10145675.629863717
30674,11345557.403536284
30675,2218250.3952001478
30676,6999782.743560458
30677,4436978.0654230155
30678,19796547.17541597
30679,5976898.663262058
30680,5169122.776657246
30681,2263147.2080333824
30682,9385687.25371379
30683,9747609.789449606
30684,4886481.625835681
30685,7252568.984188357
30686,9478297.618621834
30687,4837373.085520282
30688,4618960.511986565
30689,13474728.496460482
30690,22894948.788269877
30691,4660856.2358661415
30692,6377806.064205166
30693,12215067.310779119
30694,5095108.048823433
30695,7612496.310184575
30696,6595846.374199793
30697,11478276.662227374
30698,7634502.600032619
30699,5505310.179531936
30700,4792379.651129667
30701,9640690.792651545
30702,6658704.5714994585
30703,3801135.452262378
30704,12052764.676011762
30705,8626309.724735418
30706,24034139.220822647
30707,3592731.133809772
30708,14336362.268230192
30709,5580536.598595568
30710,7178397.1097377045
30711,4732836.016511038
30712,3937960.758780808
30713,5555321.206727633
30714,6967968.567290447
30715,3603413.4029964954
30716,9708772.351235429
30717,6862930.954491576
30718,9222455.234480435
30719,14324516.151788414
30720,7436854.468887959
30721,3805479.139367265
30722,7412295.133906071
30723,6250000.716352793
30724,11527490.467192529
30725,6740524.625191973
30726,11551344.03911745
30727,9857559.774447674
30728,11249910.435933415
30729,3348304.3690709583
30730,6023136.1544918725
30731,6141219.709290887
30732,5124249.512853657
30733,10292808.727905162
30734,6807213.91699287
30735,5519020.2863379875
30736,4998798.909264688
30737,6205641.972012635
30738,6002958.351934969
30739,4067089.514751704
30740,7003054.68313001
30741,10297826.256023463
30742,4161117.7888314123
30743,4776982.398515701
30744,9394576.449040998
30745,6909266.9165266445
30746,5565455.251241884
30747,13902523.09223554
30748,16511122.163448999
30749,5006492.627959524
30750,6659829.533625171
30751,3656073.598387776
30752,7519678.15247228
30753,10445962.139031138
30754,6044779.343520785
30755,4196523.016745848
30756,5838881.458059859
30757,5548187.375306078
30758,8893554.40162216
30759,6138960.847308358
30760,3541967.123403483
30761,8880893.297416992
30762,6301636.759456515
30763,12434290.96519896
30764,5910192.009306758
30765,5479970.924198125
30766,3661415.8066685554
30767,9050412.481100587
30768,4444151.160133316
30769,8146017.793867307
30770,5883886.330110816
30771,2907640.2204764574
30772,8135346.491000975
30773,7558483.947397089
30774,5731447.441031156
30775,13458490.999642909
30776,5835894.333869172
30777,5893145.924138657
30778,8598421.322847968
30779,6391627.675638576
30780,7572560.418944434
30781,6628891.28400876
30782,5226353.209144853
30783,5240232.6757787485
30784,3679505.1441568104
30785,5132508.533978369
30786,4273728.386322715
30787,6039232.387162501
30788,5454723.726840036
30789,7196322.316632196
30790,6422226.656410943
30791,10106745.543412438
30792,6936378.847631175
30793,10825665.585326277
30794,14432849.956701687
30795,11600828.79886678
30796,10835383.51956839
30797,14774043.83100636
30798,2874494.387780146
30799,10014222.039392343
30800,12303378.289330456
30801,6154819.905350763
30802,15713641.868465347
30803,2968079.048363771
30804,3574994.702687787
30805,14617229.325680135
30806,6876777.750413002
30807,6237580.672068912
30808,10821732.483426452
30809,4984656.888041358
30810,10975281.56528736
30811,4354342.583310326
30812,5444053.049368139
30813,5172325.409234684
